0.012s
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_4x3, wall time: 0.009144s, L3 cache miss ratio: 14035030888600700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_4x4, wall time: 0.009548s, L3 cache miss ratio: 13977130091058300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_4x5, wall time: 0.011706s, L3 cache miss ratio: 14030529088869500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_4x6, wall time: 0.009838s, L3 cache miss ratio: 13965893588325500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_4x7, wall time: 0.010144s, L3 cache miss ratio: 13993656123135100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_4x8, wall time: 0.010495s, L3 cache miss ratio: 14058988437656700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_4x9, wall time: 0.012225s, L3 cache miss ratio: 13976893606040700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_4x10, wall time: 0.010682s, L3 cache miss ratio: 13971065574347900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_4x11, wall time: 0.013154s, L3 cache miss ratio: 14057610062795900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_4x12, wall time: 0.012252s, L3 cache miss ratio: 14025751424357500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_5x1, wall time: 0.009012s, L3 cache miss ratio: 14033243796018300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_5x2, wall time: 0.011528s, L3 cache miss ratio: 13973635215512700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_5x3, wall time: 0.010264s, L3 cache miss ratio: 14070642003301500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_5x4, wall time: 0.010475s, L3 cache miss ratio: 14038971427787900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_5x5, wall time: 0.012955s, L3 cache miss ratio: 14071924860671100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_5x6, wall time: 0.011032s, L3 cache miss ratio: 14022631329535100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_5x7, wall time: 0.011516s, L3 cache miss ratio: 13993518289458300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_5x8, wall time: 0.011659s, L3 cache miss ratio: 14036198959256700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_5x9, wall time: 0.013857s, L3 cache miss ratio: 14019942210507900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_5x10, wall time: 0.012125s, L3 cache miss ratio: 13964665541170300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_5x11, wall time: 0.014855s, L3 cache miss ratio: 14031989727794300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_5x12, wall time: 0.014845s, L3 cache miss ratio: 13999042358219900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_6x1, wall time: 0.010732s, L3 cache miss ratio: 14054833252914300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_6x2, wall time: 0.012221s, L3 cache miss ratio: 14015910822450300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_6x3, wall time: 0.012187s, L3 cache miss ratio: 13972941999051900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_6x4, wall time: 0.012622s, L3 cache miss ratio: 14042938489803900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_6x5, wall time: 0.015579s, L3 cache miss ratio: 14060187485541500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_6x6, wall time: 0.013782s, L3 cache miss ratio: 14066617245848700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_6x7, wall time: 0.014106s, L3 cache miss ratio: 13980941284709500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_6x8, wall time: 0.014315s, L3 cache miss ratio: 14066094492210300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_6x9, wall time: 0.017840s, L3 cache miss ratio: 14031472296498300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_6x10, wall time: 0.015025s, L3 cache miss ratio: 14024856748184700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_6x11, wall time: 0.019535s, L3 cache miss ratio: 13963924282315900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_6x12, wall time: 0.018561s, L3 cache miss ratio: 14029995503359100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_7x1, wall time: 0.011768s, L3 cache miss ratio: 14036931084850300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_7x2, wall time: 0.011816s, L3 cache miss ratio: 13988968443237500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_7x3, wall time: 0.013146s, L3 cache miss ratio: 14014001061631100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_7x4, wall time: 0.013887s, L3 cache miss ratio: 14068055620146300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_7x5, wall time: 0.016751s, L3 cache miss ratio: 14021100164863100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_7x6, wall time: 0.016925s, L3 cache miss ratio: 14004040028722300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_7x7, wall time: 0.015059s, L3 cache miss ratio: 13979538785227900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_7x8, wall time: 0.019392s, L3 cache miss ratio: 14019556638053500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_7x9, wall time: 0.017731s, L3 cache miss ratio: 13980821679871100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_7x10, wall time: 0.016359s, L3 cache miss ratio: 14006128799896700.000%, FLOPS:4361373.000000
